Sr. No,Date Time,Slots occupied,Target,Parking Availability,Car Type
106,01-01-2024 13:15,0,0.00%,No,SUV
107,01-01-2024 13:18,0,0.00%,No,SUV
108,01-01-2024 13:21,0,0.00%,No,SUV
109,01-01-2024 13:24,0,0.00%,No,SUV
110,01-01-2024 13:27,0,0.00%,No,SUV
111,01-01-2024 13:30,0,0.00%,No,SUV
112,01-01-2024 13:33,0,0.00%,No,SUV
113,01-01-2024 13:36,0,0.00%,No,SUV
114,01-01-2024 13:39,0,0.00%,No,SUV
115,01-01-2024 13:42,0,0.00%,No,SUV
116,01-01-2024 13:45,0,0.00%,No,SUV
117,01-01-2024 13:48,0,0.00%,No,SUV
118,01-01-2024 13:51,0,0.00%,No,SUV
119,01-01-2024 13:54,0,0.00%,No,SUV
120,01-01-2024 13:57,0,0.00%,No,SUV
121,01-01-2024 14:00,0,0.00%,No,SUV
122,01-01-2024 14:03,0,0.00%,No,SUV
123,01-01-2024 14:06,0,0.00%,No,SUV
124,01-01-2024 14:09,0,0.00%,No,SUV
125,01-01-2024 14:12,0,0.00%,No,SUV
126,01-01-2024 14:15,0,0.00%,No,SUV
127,01-01-2024 14:18,0,0.00%,No,SUV
128,01-01-2024 14:21,0,0.00%,No,SUV
129,01-01-2024 14:24,0,0.00%,No,SUV
130,01-01-2024 14:27,0,0.00%,No,SUV
131,01-01-2024 14:30,0,0.00%,No,SUV
132,01-01-2024 14:33,0,0.00%,No,SUV
133,01-01-2024 14:36,0,0.00%,No,SUV
134,01-01-2024 14:39,0,0.00%,No,SUV
135,01-01-2024 14:42,0,0.00%,No,SUV
136,01-01-2024 14:45,0,0.00%,No,SUV
137,01-01-2024 14:48,0,0.00%,No,SUV
138,01-01-2024 14:51,0,0.00%,No,SUV
139,01-01-2024 14:54,0,0.00%,No,SUV
140,01-01-2024 14:57,0,0.00%,No,SUV
141,01-01-2024 15:00,0,0.00%,No,SUV
142,01-01-2024 15:03,0,0.00%,No,SUV
143,01-01-2024 15:06,0,0.00%,No,SUV
144,01-01-2024 15:09,0,0.00%,No,SUV
145,01-01-2024 15:12,0,0.00%,No,SUV
146,01-01-2024 15:15,0,0.00%,No,SUV
147,01-01-2024 15:18,0,0.00%,No,SUV
148,01-01-2024 15:21,0,0.00%,No,SUV
149,01-01-2024 15:24,0,0.00%,No,SUV
150,01-01-2024 15:27,0,0.00%,No,SUV
151,01-01-2024 15:30,0,0.00%,No,SUV
152,01-01-2024 15:33,0,0.00%,No,SUV
153,01-01-2024 15:36,0,0.00%,No,SUV
154,01-01-2024 15:39,0,0.00%,No,SUV
155,01-01-2024 15:42,0,0.00%,No,SUV
156,01-01-2024 15:45,0,0.00%,No,SUV
157,01-01-2024 15:48,0,0.00%,No,SUV
158,01-01-2024 15:51,0,0.00%,No,SUV
159,01-01-2024 15:54,0,0.00%,No,SUV
160,01-01-2024 15:57,0,0.00%,No,SUV
161,01-01-2024 16:00,0,0.00%,No,SUV
162,01-01-2024 16:03,0,0.00%,No,SUV
163,01-01-2024 16:06,0,0.00%,No,SUV
164,01-01-2024 16:09,0,0.00%,No,SUV
165,01-01-2024 16:12,0,0.00%,No,SUV
166,01-01-2024 16:15,0,0.00%,No,SUV
167,01-01-2024 16:18,0,0.00%,No,SUV
168,01-01-2024 16:21,0,0.00%,No,SUV
169,01-01-2024 16:24,0,0.00%,No,SUV
170,01-01-2024 16:27,0,0.00%,No,SUV
171,01-01-2024 16:30,0,0.00%,No,SUV
172,01-01-2024 16:33,0,0.00%,No,SUV
173,01-01-2024 16:36,0,0.00%,No,SUV
174,01-01-2024 16:39,0,0.00%,No,SUV
175,01-01-2024 16:42,0,0.00%,No,SUV
176,01-01-2024 16:45,0,0.00%,No,SUV
177,01-01-2024 16:48,0,0.00%,No,SUV
178,01-01-2024 16:51,0,0.00%,No,SUV
179,01-01-2024 16:54,0,0.00%,No,SUV
180,01-01-2024 16:57,0,0.00%,No,SUV
181,01-01-2024 17:00,0,0.00%,No,SUV
182,01-01-2024 17:03,0,0.00%,No,SUV
183,01-01-2024 17:06,0,0.00%,No,SUV
184,01-01-2024 17:09,0,0.00%,No,SUV
185,01-01-2024 17:12,0,0.00%,No,SUV
186,01-01-2024 17:15,0,0.00%,No,SUV
187,01-01-2024 17:18,0,0.00%,No,SUV
188,01-01-2024 17:21,0,0.00%,No,SUV
189,01-01-2024 17:24,0,0.00%,No,SUV
190,01-01-2024 17:27,0,0.00%,No,SUV
191,01-01-2024 17:30,0,0.00%,No,SUV
192,01-01-2024 17:33,0,0.00%,No,SUV
193,01-01-2024 17:36,0,0.00%,No,SUV
194,01-01-2024 17:39,0,0.00%,No,SUV
195,01-01-2024 17:42,0,0.00%,No,SUV
196,01-01-2024 17:45,0,0.00%,No,SUV
197,01-01-2024 17:48,0,0.00%,No,SUV
198,01-01-2024 17:51,0,0.00%,No,SUV
199,01-01-2024 17:54,0,0.00%,No,SUV
200,01-01-2024 17:57,0,0.00%,No,SUV
201,01-01-2024 18:00,0,0.00%,No,SUV
202,01-01-2024 18:03,0,0.00%,No,SUV
203,01-01-2024 18:06,0,0.00%,No,SUV
204,01-01-2024 18:09,0,0.00%,No,SUV
205,01-01-2024 18:12,0,0.00%,No,SUV
206,01-01-2024 18:15,0,0.00%,No,SUV
207,01-01-2024 18:18,0,0.00%,No,SUV
208,01-01-2024 18:21,0,0.00%,No,SUV
209,01-01-2024 18:24,0,0.00%,No,SUV
210,01-01-2024 18:27,0,0.00%,No,SUV
211,01-01-2024 18:30,0,0.00%,No,SUV
212,01-01-2024 18:33,0,0.00%,No,SUV
213,01-01-2024 18:36,0,0.00%,No,SUV
214,01-01-2024 18:39,0,0.00%,No,SUV
215,01-01-2024 18:42,0,0.00%,No,SUV
216,01-01-2024 18:45,0,0.00%,No,SUV
217,01-01-2024 18:48,0,0.00%,No,SUV
218,01-01-2024 18:51,0,0.00%,No,SUV
219,01-01-2024 18:54,0,0.00%,No,SUV
220,01-01-2024 18:57,0,0.00%,No,SUV
221,01-01-2024 19:00,0,0.00%,No,SUV
222,01-01-2024 19:03,300,100.00%,Yes,SUV
223,01-01-2024 19:06,300,100.00%,Yes,SUV
224,01-01-2024 19:09,300,100.00%,Yes,SUV
225,01-01-2024 19:12,300,100.00%,Yes,SUV
226,01-01-2024 19:15,300,100.00%,Yes,SUV
227,01-01-2024 19:18,300,100.00%,Yes,SUV
228,01-01-2024 19:21,300,100.00%,Yes,SUV
229,01-01-2024 19:24,300,100.00%,Yes,SUV
230,01-01-2024 19:27,300,100.00%,Yes,SUV
231,01-01-2024 19:30,300,100.00%,Yes,SUV
232,01-01-2024 19:33,300,100.00%,Yes,SUV
233,01-01-2024 19:36,300,100.00%,Yes,SUV
234,01-01-2024 19:39,300,100.00%,Yes,SUV
235,01-01-2024 19:42,300,100.00%,Yes,SUV
236,01-01-2024 19:45,300,100.00%,Yes,SUV
237,01-01-2024 19:48,300,100.00%,Yes,SUV
238,01-01-2024 19:51,300,100.00%,Yes,SUV
239,01-01-2024 19:54,300,100.00%,Yes,SUV
240,01-01-2024 19:57,300,100.00%,Yes,SUV
241,01-01-2024 20:00,300,100.00%,Yes,SUV
242,01-01-2024 20:03,300,100.00%,Yes,SUV
243,01-01-2024 20:06,300,100.00%,Yes,SUV
244,01-01-2024 20:09,300,100.00%,Yes,SUV
245,01-01-2024 20:12,300,100.00%,Yes,SUV
246,01-01-2024 20:15,300,100.00%,Yes,SUV
247,01-01-2024 20:18,300,100.00%,Yes,SUV
248,01-01-2024 20:21,300,100.00%,Yes,SUV
249,01-01-2024 20:24,300,100.00%,Yes,SUV
250,01-01-2024 20:27,300,100.00%,Yes,SUV
251,01-01-2024 20:30,300,100.00%,Yes,SUV
252,01-01-2024 20:33,300,100.00%,Yes,SUV
253,01-01-2024 20:36,300,100.00%,Yes,SUV
254,01-01-2024 20:39,300,100.00%,Yes,SUV
255,01-01-2024 20:42,300,100.00%,Yes,SUV
256,01-01-2024 20:45,300,100.00%,Yes,SUV
257,01-01-2024 20:48,300,100.00%,Yes,SUV
258,01-01-2024 20:51,300,100.00%,Yes,SUV
259,01-01-2024 20:54,300,100.00%,Yes,SUV
260,01-01-2024 20:57,300,100.00%,Yes,SUV
261,01-01-2024 21:00,300,100.00%,Yes,SUV
262,01-01-2024 21:03,300,100.00%,Yes,SUV
263,01-01-2024 21:06,300,100.00%,Yes,SUV
264,01-01-2024 21:09,300,100.00%,Yes,SUV
265,01-01-2024 21:12,300,100.00%,Yes,SUV
266,01-01-2024 21:15,300,100.00%,Yes,SUV
267,01-01-2024 21:18,300,100.00%,Yes,SUV
268,01-01-2024 21:21,300,100.00%,Yes,SUV
269,01-01-2024 21:24,300,100.00%,Yes,SUV
270,01-01-2024 21:27,300,100.00%,Yes,SUV
271,01-01-2024 21:30,300,100.00%,Yes,SUV
272,01-01-2024 21:33,300,100.00%,Yes,SUV
273,01-01-2024 21:36,300,100.00%,Yes,SUV
274,01-01-2024 21:39,300,100.00%,Yes,SUV
275,01-01-2024 21:42,300,100.00%,Yes,SUV
276,01-01-2024 21:45,300,100.00%,Yes,SUV
277,01-01-2024 21:48,300,100.00%,Yes,SUV
278,01-01-2024 21:51,300,100.00%,Yes,SUV
279,01-01-2024 21:54,300,100.00%,Yes,SUV
280,01-01-2024 21:57,300,100.00%,Yes,SUV
281,01-01-2024 22:00,300,100.00%,Yes,SUV
282,01-01-2024 22:03,300,100.00%,Yes,SUV
283,01-01-2024 22:06,300,100.00%,Yes,SUV
284,01-01-2024 22:09,300,100.00%,Yes,SUV
285,01-01-2024 22:12,300,100.00%,Yes,SUV
286,01-01-2024 22:15,300,100.00%,Yes,SUV
287,01-01-2024 22:18,300,100.00%,Yes,SUV
288,01-01-2024 22:21,300,100.00%,Yes,SUV
289,01-01-2024 22:24,300,100.00%,Yes,SUV
290,01-01-2024 22:27,300,100.00%,Yes,SUV
291,01-01-2024 22:30,300,100.00%,Yes,SUV
292,01-01-2024 22:33,300,100.00%,Yes,SUV
293,01-01-2024 22:36,300,100.00%,Yes,SUV
294,01-01-2024 22:39,300,100.00%,Yes,SUV
295,01-01-2024 22:42,300,100.00%,Yes,SUV
296,01-01-2024 22:45,300,100.00%,Yes,SUV
297,01-01-2024 22:48,300,100.00%,Yes,SUV
298,01-01-2024 22:51,300,100.00%,Yes,SUV
299,01-01-2024 22:54,300,100.00%,Yes,SUV
300,01-01-2024 22:57,300,100.00%,Yes,SUV
301,01-01-2024 23:00,300,100.00%,Yes,SUV
302,01-01-2024 23:03,300,100.00%,Yes,SUV
303,01-01-2024 23:06,300,100.00%,Yes,SUV
304,01-01-2024 23:09,300,100.00%,Yes,SUV
305,01-01-2024 23:12,300,100.00%,Yes,SUV
306,01-01-2024 23:15,300,100.00%,Yes,SUV
307,01-01-2024 23:18,300,100.00%,Yes,SUV
308,01-01-2024 23:21,300,100.00%,Yes,SUV
309,01-01-2024 23:24,300,100.00%,Yes,SUV
310,01-01-2024 23:27,300,100.00%,Yes,SUV
311,01-01-2024 23:30,300,100.00%,Yes,SUV
312,01-01-2024 23:33,300,100.00%,Yes,SUV
313,01-01-2024 23:36,300,100.00%,Yes,SUV
314,01-01-2024 23:39,300,100.00%,Yes,SUV
315,01-01-2024 23:42,300,100.00%,Yes,SUV
316,01-01-2024 23:45,300,100.00%,Yes,SUV
317,01-01-2024 23:48,300,100.00%,Yes,SUV
318,01-01-2024 23:51,300,100.00%,Yes,SUV
319,01-01-2024 23:54,300,100.00%,Yes,SUV
320,01-01-2024 23:57,300,100.00%,Yes,SUV
321,02-01-2024 00:00,300,100.00%,Yes,SUV
322,02-01-2024 00:03,300,100.00%,Yes,SUV
323,02-01-2024 00:06,300,100.00%,Yes,SUV
324,02-01-2024 00:09,300,100.00%,Yes,SUV
325,02-01-2024 00:12,300,100.00%,Yes,SUV
326,02-01-2024 00:15,300,100.00%,Yes,SUV
327,02-01-2024 00:18,300,100.00%,Yes,SUV
328,02-01-2024 00:21,300,100.00%,Yes,SUV
329,02-01-2024 00:24,300,100.00%,Yes,SUV
330,02-01-2024 00:27,300,100.00%,Yes,SUV
331,02-01-2024 00:30,300,100.00%,Yes,SUV
332,02-01-2024 00:33,300,100.00%,Yes,SUV
333,02-01-2024 00:36,300,100.00%,Yes,SUV
334,02-01-2024 00:39,300,100.00%,Yes,SUV
335,02-01-2024 00:42,300,100.00%,Yes,SUV
336,02-01-2024 00:45,300,100.00%,Yes,SUV
337,02-01-2024 00:48,300,100.00%,Yes,SUV
338,02-01-2024 00:51,300,100.00%,Yes,SUV
339,02-01-2024 00:54,300,100.00%,Yes,SUV
340,02-01-2024 00:57,300,100.00%,Yes,SUV
341,02-01-2024 01:00,300,100.00%,Yes,SUV
342,02-01-2024 01:03,300,100.00%,Yes,SUV
343,02-01-2024 01:06,300,100.00%,Yes,SUV
344,02-01-2024 01:09,300,100.00%,Yes,SUV
345,02-01-2024 01:12,300,100.00%,Yes,SUV
346,02-01-2024 01:15,300,100.00%,Yes,SUV
347,02-01-2024 01:18,300,100.00%,Yes,SUV
348,02-01-2024 01:21,300,100.00%,Yes,SUV
349,02-01-2024 01:24,300,100.00%,Yes,SUV
350,02-01-2024 01:27,300,100.00%,Yes,SUV
351,02-01-2024 01:30,300,100.00%,Yes,SUV
352,02-01-2024 01:33,300,100.00%,Yes,SUV
353,02-01-2024 01:36,300,100.00%,Yes,SUV
354,02-01-2024 01:39,300,100.00%,Yes,SUV
355,02-01-2024 01:42,300,100.00%,Yes,SUV
356,02-01-2024 01:45,300,100.00%,Yes,SUV
357,02-01-2024 01:48,300,100.00%,Yes,SUV
358,02-01-2024 01:51,300,100.00%,Yes,SUV
359,02-01-2024 01:54,300,100.00%,Yes,SUV
360,02-01-2024 01:57,300,100.00%,Yes,SUV
361,02-01-2024 02:00,300,100.00%,Yes,SUV
362,02-01-2024 02:03,300,100.00%,Yes,SUV
363,02-01-2024 02:06,300,100.00%,Yes,SUV
364,02-01-2024 02:09,300,100.00%,Yes,SUV
365,02-01-2024 02:12,300,100.00%,Yes,SUV
366,02-01-2024 02:15,300,100.00%,Yes,SUV
367,02-01-2024 02:18,300,100.00%,Yes,SUV
368,02-01-2024 02:21,300,100.00%,Yes,SUV
369,02-01-2024 02:24,300,100.00%,Yes,SUV
370,02-01-2024 02:27,300,100.00%,Yes,SUV
371,02-01-2024 02:30,300,100.00%,Yes,SUV
372,02-01-2024 02:33,300,100.00%,Yes,SUV
373,02-01-2024 02:36,300,100.00%,Yes,SUV
374,02-01-2024 02:39,300,100.00%,Yes,SUV
375,02-01-2024 02:42,300,100.00%,Yes,SUV
376,02-01-2024 02:45,300,100.00%,Yes,SUV
377,02-01-2024 02:48,300,100.00%,Yes,SUV
378,02-01-2024 02:51,300,100.00%,Yes,SUV
379,02-01-2024 02:54,300,100.00%,Yes,SUV
380,02-01-2024 02:57,300,100.00%,Yes,SUV
381,02-01-2024 03:00,300,100.00%,Yes,SUV
382,02-01-2024 03:03,300,100.00%,Yes,SUV
383,02-01-2024 03:06,300,100.00%,Yes,SUV
384,02-01-2024 03:09,300,100.00%,Yes,SUV
385,02-01-2024 03:12,300,100.00%,Yes,SUV
386,02-01-2024 03:15,300,100.00%,Yes,SUV
387,02-01-2024 03:18,300,100.00%,Yes,SUV
388,02-01-2024 03:21,300,100.00%,Yes,SUV
389,02-01-2024 03:24,300,100.00%,Yes,SUV
390,02-01-2024 03:27,300,100.00%,Yes,SUV
391,02-01-2024 03:30,300,100.00%,Yes,SUV
392,02-01-2024 03:33,300,100.00%,Yes,SUV
393,02-01-2024 03:36,300,100.00%,Yes,SUV
394,02-01-2024 03:39,300,100.00%,Yes,SUV
395,02-01-2024 03:42,300,100.00%,Yes,SUV
396,02-01-2024 03:45,300,100.00%,Yes,SUV
397,02-01-2024 03:48,300,100.00%,Yes,SUV
398,02-01-2024 03:51,300,100.00%,Yes,SUV
399,02-01-2024 03:54,300,100.00%,Yes,SUV
400,02-01-2024 03:57,300,100.00%,Yes,SUV
401,02-01-2024 04:00,300,100.00%,Yes,SUV
402,02-01-2024 04:03,300,100.00%,Yes,SUV
403,02-01-2024 04:06,300,100.00%,Yes,SUV
404,02-01-2024 04:09,300,100.00%,Yes,SUV
405,02-01-2024 04:12,300,100.00%,Yes,SUV
406,02-01-2024 04:15,300,100.00%,Yes,SUV
407,02-01-2024 04:18,300,100.00%,Yes,SUV
408,02-01-2024 04:21,300,100.00%,Yes,SUV
409,02-01-2024 04:24,300,100.00%,Yes,SUV
410,02-01-2024 04:27,300,100.00%,Yes,SUV
411,02-01-2024 04:30,300,100.00%,Yes,SUV
412,02-01-2024 04:33,300,100.00%,Yes,SUV
413,02-01-2024 04:36,300,100.00%,Yes,SUV
414,02-01-2024 04:39,300,100.00%,Yes,SUV
415,02-01-2024 04:42,300,100.00%,Yes,SUV
416,02-01-2024 04:45,300,100.00%,Yes,SUV
417,02-01-2024 04:48,300,100.00%,Yes,SUV
418,02-01-2024 04:51,300,100.00%,Yes,SUV
419,02-01-2024 04:54,300,100.00%,Yes,SUV
420,02-01-2024 04:57,300,100.00%,Yes,SUV
421,02-01-2024 05:00,300,100.00%,Yes,SUV
422,02-01-2024 05:03,300,100.00%,Yes,SUV
423,02-01-2024 05:06,300,100.00%,Yes,SUV
424,02-01-2024 05:09,300,100.00%,Yes,SUV
425,02-01-2024 05:12,300,100.00%,Yes,SUV
426,02-01-2024 05:15,300,100.00%,Yes,SUV
427,02-01-2024 05:18,300,100.00%,Yes,SUV
428,02-01-2024 05:21,300,100.00%,Yes,SUV
429,02-01-2024 05:24,300,100.00%,Yes,SUV
430,02-01-2024 05:27,300,100.00%,Yes,SUV
431,02-01-2024 05:30,300,100.00%,Yes,SUV
432,02-01-2024 05:33,300,100.00%,Yes,SUV
433,02-01-2024 05:36,300,100.00%,Yes,SUV
434,02-01-2024 05:39,300,100.00%,Yes,SUV
435,02-01-2024 05:42,300,100.00%,Yes,SUV
436,02-01-2024 05:45,300,100.00%,Yes,SUV
437,02-01-2024 05:48,300,100.00%,Yes,SUV
438,02-01-2024 05:51,300,100.00%,Yes,SUV
439,02-01-2024 05:54,300,100.00%,Yes,SUV
440,02-01-2024 05:57,300,100.00%,Yes,SUV
441,02-01-2024 06:00,300,100.00%,Yes,SUV
442,02-01-2024 06:03,300,100.00%,Yes,SUV
443,02-01-2024 06:06,300,100.00%,Yes,SUV
444,02-01-2024 06:09,300,100.00%,Yes,SUV
445,02-01-2024 06:12,300,100.00%,Yes,SUV
446,02-01-2024 06:15,300,100.00%,Yes,SUV
447,02-01-2024 06:18,300,100.00%,Yes,SUV
448,02-01-2024 06:21,300,100.00%,Yes,SUV
449,02-01-2024 06:24,300,100.00%,Yes,SUV
450,02-01-2024 06:27,300,100.00%,Yes,SUV
451,02-01-2024 06:30,300,100.00%,Yes,SUV
452,02-01-2024 06:33,300,100.00%,Yes,SUV
453,02-01-2024 06:36,300,100.00%,Yes,SUV
454,02-01-2024 06:39,300,100.00%,Yes,SUV
455,02-01-2024 06:42,300,100.00%,Yes,SUV
456,02-01-2024 06:45,300,100.00%,Yes,SUV
457,02-01-2024 06:48,300,100.00%,Yes,SUV
458,02-01-2024 06:51,300,100.00%,Yes,SUV
459,02-01-2024 06:54,300,100.00%,Yes,SUV
460,02-01-2024 06:57,300,100.00%,Yes,SUV
461,02-01-2024 07:00,300,100.00%,Yes,SUV
462,02-01-2024 07:03,300,100.00%,Yes,SUV
463,02-01-2024 07:06,300,100.00%,Yes,SUV
464,02-01-2024 07:09,300,100.00%,Yes,SUV
465,02-01-2024 07:12,300,100.00%,Yes,SUV
466,02-01-2024 07:15,300,100.00%,Yes,SUV
467,02-01-2024 07:18,300,100.00%,Yes,SUV
468,02-01-2024 07:21,300,100.00%,Yes,SUV
469,02-01-2024 07:24,300,100.00%,Yes,SUV
470,02-01-2024 07:27,300,100.00%,Yes,SUV
471,02-01-2024 07:30,300,100.00%,Yes,SUV
472,02-01-2024 07:33,300,100.00%,Yes,SUV
473,02-01-2024 07:36,300,100.00%,Yes,SUV
474,02-01-2024 07:39,300,100.00%,Yes,SUV
475,02-01-2024 07:42,300,100.00%,Yes,SUV
476,02-01-2024 07:45,300,100.00%,Yes,SUV
477,02-01-2024 07:48,300,100.00%,Yes,SUV
478,02-01-2024 07:51,300,100.00%,Yes,SUV
479,02-01-2024 07:54,300,100.00%,Yes,SUV
480,02-01-2024 07:57,300,100.00%,Yes,SUV
481,02-01-2024 08:00,300,100.00%,Yes,SUV
482,02-01-2024 08:03,300,100.00%,Yes,SUV
483,02-01-2024 08:06,300,100.00%,Yes,SUV
484,02-01-2024 08:09,300,100.00%,Yes,SUV
485,02-01-2024 08:12,300,100.00%,Yes,SUV
486,02-01-2024 08:15,300,100.00%,Yes,SUV
487,02-01-2024 08:18,300,100.00%,Yes,SUV
488,02-01-2024 08:21,300,100.00%,Yes,SUV
489,02-01-2024 08:24,300,100.00%,Yes,SUV
490,02-01-2024 08:27,300,100.00%,Yes,SUV
491,02-01-2024 08:30,300,100.00%,Yes,SUV
492,02-01-2024 08:33,300,100.00%,Yes,SUV
493,02-01-2024 08:36,300,100.00%,Yes,SUV
494,02-01-2024 08:39,300,100.00%,Yes,SUV
495,02-01-2024 08:42,295,98.33%,Yes,SUV
496,02-01-2024 08:45,294,98.00%,Yes,SUV
497,02-01-2024 08:48,293,97.67%,Yes,SUV
498,02-01-2024 08:51,292,97.33%,Yes,SUV
499,02-01-2024 08:54,291,97.00%,Yes,SUV
500,02-01-2024 08:57,290,96.67%,Yes,SUV
501,02-01-2024 09:00,290,96.67%,Yes,SUV
502,02-01-2024 09:03,270,90.00%,Yes,SUV
503,02-01-2024 09:06,250,83.33%,Yes,SUV
504,02-01-2024 09:09,240,80.00%,Yes,SUV
505,02-01-2024 09:12,220,73.33%,Yes,SUV
506,02-01-2024 09:15,205,68.33%,Yes,SUV
507,02-01-2024 09:18,189,63.00%,Yes,SUV
508,02-01-2024 09:21,173,57.67%,Yes,SUV
509,02-01-2024 09:24,157,52.33%,Yes,SUV
510,02-01-2024 09:27,141,47.00%,Yes,SUV
